scan,network,rssi,encryption,ssid,bssid
0,1,-58,WPA2,humanfuel,6C:F3:7F:69:F8:C0
0,2,-64,WPA2,DSL_wifi,9C:53:22:C5:BF:B3
0,3,-65,WPA2,DSL_wifi_2.4GHz,D2:53:22:C5:BF:B6
0,4,-70,WPA2-E,eduroam,50:5C:88:53:48:E1
0,5,-70,Open,nyuguest-legacy,50:5C:88:53:48:E5
0,6,-70,WPA2,nyu-android,50:5C:88:53:48:E6
0,7,-72,WPA2-E,eduroam,50:5C:88:51:09:21
0,8,-72,Open,nyuguest-legacy,50:5C:88:51:09:25
0,9,-72,WPA2,nyu-android,50:5C:88:51:09:26
0,10,-72,Open,HPCP1525-a3c45c,60:D8:19:A3:C4:5C
0,11,-75,WPA2,humanfuel,6C:F3:7F:69:F1:E0
0,12,-77,WPA2,floodnet-lab-2G,B0:6E:BF:DE:71:68
0,13,-77,WPA2-E,eduroam,50:5C:88:52:A7:D1
0,14,-77,Open,nyuguest-legacy,50:5C:88:52:A7:D5
0,15,-77,WPA2,nyu-android,50:5C:88:52:A7:D6
0,16,-78,WPA2-E,eduroam,50:5C:88:52:1A:41
0,17,-78,Open,nyuguest-legacy,50:5C:88:52:1A:45
0,18,-78,WPA2,nyu-android,50:5C:88:52:1A:46
0,19,-82,WPA2-E,eduroam,50:5C:88:53:E7:E1
0,20,-83,Open,nyuguest-legacy,50:5C:88:53:E7:E5
0,21,-83,WPA2,nyu-android,50:5C:88:53:E7:E6
0,22,-85,WPA2/WPA3,momo-lab,54:AF:97:16:09:84
0,23,-85,WPA2,momo-iot-2.4ghz,56:AF:97:16:09:84
0,24,-85,WPA2,mom-lab-hidden-cam,40:ED:00:AB:2D:9A
0,25,-85,WPA2-E,eduroam,50:5C:88:54:3F:01
0,26,-86,Open,SolsticePod,D8:0F:99:63:26:4F
0,27,-86,Open,nyuguest-legacy,50:5C:88:54:3F:05
0,28,-86,WPA2,nyu-android,50:5C:88:54:3F:06
0,29,-89,WPA2,DIRECT-56-HP M428fdw LJ,16:CB:19:9C:B4:56
